,title,rating
209,The Social Network,9.6
210,The Irishman,9.6
211,The Edge of Democracy,9.7
212,The Body Remembers When the World Broke Open,9.7
213,To All the Boys I've Loved Before,9.7
214,"The Good, the Bad and the Ugly",9.7
215,Monty Python and the Holy Grail,9.7
216,13th,9.7
217,Aquarius,9.7
218,Mud,9.7
219,Mudbound,9.7
220,Dolemite Is My Name,9.7
221,Hell or High Water,9.7
222,Spider-Man: Into the Spider-Verse,9.7
223,Circus of Books,9.8
224,The Cakemaker,9.8
225,Homecoming: A Film by Beyoncé,9.8
226,God's Own Country,9.8
227,Don't Think Twice,9.8
228,Moonlight,9.8
229,Under The Shadow,9.9
230,Jiro Dreams of Sushi,9.9
231,Starred Up,9.9
232,Song Of The Sea,9.9
233,My Life as a Zucchini (Ma vie de courgette),9.9
234,Virunga,10.0
235,Anima,10.0
236,Invader Zim: Enter the Florpus,10.0
237,The Young Offenders,10.0
238,Democrats,10.0
239,Creep 2,10.0
240,Mercury 13,10.0
241,Paris Is Burning,10.0
242,Kilo Two Bravo,10.0
243,Chasing Coral,10.0
244,Mr. Roosevelt,10.0
245,Strong Island,10.0
246,Shirkers,10.0
247,The Square (Al Midan),10.0
248,Crip Camp: A Disability Revolution,10.0
249,Knock Down the House,10.0
250,Our Planet,9.3
251,When They See Us,8.9
252,Stranger Things,8.8
253,House of Cards,8.7
254,Black Mirror,8.8
255,Narcos,8.8
256,Arrested Development,8.7
257,Sacred Games,8.7
258,Dark,8.7
259,The Haunting of Hill House,8.7
260,The Crown,8.7
261,BoJack Horseman,8.7
262,Daredevil,8.6
263,Mindhunter,8.6
264,Making a Murderer,8.6
265,"Love, Death & Robots",8.5
266,Anne with an E,8.6
267,Chef's Table,8.6
268,Formula 1: Drive to Survive,8.6
269,Money Heist,8.4
270,The Punisher,8.5
271,Unbelievable,8.5
272,The Mechanism,8.4
273,The Dark Crystal: Age of Resistance,8.5
274,Last Chance U,8.5
275,Trollhunters: Tales of Arcadia,8.4
276,After Life,8.5
277,Narcos: Mexico,8.4
278,Trailer Park Boys,8.4
279,The Dragon Prince,8.4
280,The Witcher,8.3
281,Sense8,8.3
282,Ozark,8.4
283,Sex Education,8.3
284,Master of None,8.3
285,The Last Kingdom,8.4
286,Atypical,8.3
287,Godless,8.3
288,Grace and Frankie,8.3
289,Longmire,8.3
290,The Get Down,8.3
291,Kingdom,8.3
292,Lucifer,8.2
293,The Killing,8.2
294,Castlevania,8.2
295,American Vandal,8.2
296,Wild Wild Country,8.2
297,The Kominsky Method,8.2
298,One Day at a Time,8.2
299,Orange Is the New Black,8.1
300,Altered Carbon,8.1
301,The End of the F***ing World,8.1
302,Star Wars: The Clone Wars,8.1
303,Travelers,8.1
304,Dead to Me,8.1
305,Don't F**k with Cats: Hunting an Internet Killer,8.1
306,The Keepers,8.1
307,Lovesick,8.1
308,Comedians in Cars Getting Coffee,8.1
309,On My Block,8.1
310,Voltron: Legendary Defender,8.1
311,Dirty Money,8.1
312,Jessica Jones,8.0
313,The Umbrella Academy,7.9
314,Marco Polo,8.0
315,Big Mouth,8.0
316,Bloodline,8.0
317,GLOW,8.0
318,Lilyhammer,8.0
319,F Is for Family,8.0
320,Rise of Empires: Ottoman,8.0
321,DreamWorks Dragons,8.0
322,Suburra: Blood on Rome,8.0
323,Inside Bill's Brain: Decoding Bill Gates,8.0
324,The OA,7.9
325,Russian Doll,7.9
326,The Spy,7.9
327,The Staircase,7.9
328,How to Sell Drugs Online (Fast),7.9
329,Undercover,7.9
330,13 Reasons Why,7.8
331,You,7.8
332,Maniac,7.8
333,Santa Clarita Diet,7.8
334,A Series of Unfortunate Events,7.8
335,Alias Grace,7.8
336,Conversations with a Killer: The Ted Bundy Tapes,7.8
337,El Chapo,7.8
338,Love,7.7
339,Messiah,7.7
340,Gilmore Girls: A Year in the Life,7.7
341,I Am Not Okay with This,7.6
343,Seven Seconds,7.7
344,Cable Girls,7.7
345,Spinning Out,7.7
346,Damnation,7.7
347,Designated Survivor,7.5
348,Chilling Adventures of Sabrina,7.6
349,Unbreakable Kimmy Schmidt,7.6
350,Elite,7.6
351,Evil Genius: The True Story of America's Most Diabolical Bank Heist,7.6
352,The Politician,7.5
353,The Devil Next Door,7.6
354,The Ranch,7.5
355,Quicksand,7.5
356,Everything Sucks!,7.5
357,Ragnarok,7.5
358,Marianne,7.5
359,Dogs of Berlin,7.5
360,Virgin River,7.5
361,Locke & Key,7.4
362,Wet Hot American Summer: First Day of Camp,7.4
364,3%,7.4
365,Glitch,7.4
366,Killer Inside: The Mind of Aaron Hernandez,7.4
367,Criminal: UK,7.4
368,Luke Cage,7.3
369,The Defenders,7.3
370,Lost in Space,7.3
371,Safe,7.3
372,Living with Yourself,7.2
373,La forêt,7.3
374,Disenchantment,7.2
375,Frontier,7.2
376,Flaked,7.2
377,Bonding,7.2
378,Raising Dion,7.2
379,Hemlock Grove,7.1
380,Ghoul,7.1
381,Perfume,7.1
382,The Society,7.0
383,Girlboss,7.0
384,Paradise PD,7.0
385,Tidelands,7.0
386,The Protector,6.9
387,Gypsy,6.9
388,The Order,6.9
389,Easy,6.9
390,Dracula,6.8
