,title,year,rating
151,The Crying Game,1992,9.4
152,Raging Bull,1980,9.4
153,Private Life,2018,9.4
154,De Palma,2016,9.4
155,Train to Busan (Busanhaeng),2016,9.4
156,The Edge of Seventeen,2016,9.4
157,Snowpiercer,2014,9.4
158,Incredibles 2,2018,9.4
159,Palio,2015,9.5
160,Furie (Hai phuong),2019,9.5
161,The Queen,1968,9.5
162,Strike a Pose,2017,9.5
163,The World Is Yours (Le monde ou rien),2018,9.5
164,Time Share (Tiempo Compartido),2018,9.5
165,How To Change The World,2015,9.5
166,Tramps,2016,9.5
167,Notes on Blindness,2016,9.5
168,See You Yesterday,2019,9.5
169,Outside In,2018,9.5
170,Lagaan: Once Upon a Time in India,2001,9.5
171,The Evil Dead,1981,9.5
172,Monty Python's Life of Brian,1979,9.5
173,Once Upon a Time in the West,1968,9.5
174,Raiders of the Lost Ark,1981,9.5
175,Krisha,2016,9.5
176,Fire at Sea (Fuocoammare),2016,9.5
177,Shadow,2019,9.5
178,The Breadwinner,2017,9.5
179,Searching for Sugar Man,2012,9.5
180,The Pianist,2002,9.5
181,Burning (Beoning),2018,9.5
182,Amy,2015,9.5
183,Pan's Labyrinth,2006,9.5
184,Her,2013,9.5
185,The King's Speech,2010,9.5
186,Marriage Story,2019,9.5
187,The Artist,2011,9.5
188,Roma,2018,9.5
189,"Bikram: Yogi, Guru, Predator",2019,9.6
190,Grass,2019,9.6
191,The Stranger,1946,9.6
192,Ip Man 2: Legend of the Grandmaster,2011,9.6
193,The Death and Life of Marsha P. Johnson,2017,9.6
194,Tell Me Who I Am,2019,9.6
195,I Am Divine,2013,9.6
196,April and the Extraordinary World (Avril et le monde truqué),2016,9.6
197,Sling Blade,1996,9.6
198,I Lost My Body,2019,9.6
199,Back to the Future,1985,9.6
200,Groundhog Day,1993,9.6
201,American Factory,2019,9.6
202,Undefeated,2012,9.6
203,Menashe,2017,9.6
204,The Look of Silence,2015,9.6
205,Blue Ruin,2014,9.6
206,Atlantics,2019,9.6
207,The Death of Stalin,2018,9.6
208,The Florida Project,2017,9.6
209,The Social Network,2010,9.6
210,The Irishman,2019,9.6
211,The Edge of Democracy,2019,9.7
212,The Body Remembers When the World Broke Open,2019,9.7
213,To All the Boys I've Loved Before,2018,9.7
214,"The Good, the Bad and the Ugly",1966,9.7
215,Monty Python and the Holy Grail,1975,9.7
216,13th,2016,9.7
217,Aquarius,2016,9.7
218,Mud,2013,9.7
219,Mudbound,2017,9.7
220,Dolemite Is My Name,2019,9.7
221,Hell or High Water,2016,9.7
222,Spider-Man: Into the Spider-Verse,2018,9.7
223,Circus of Books,2019,9.8
224,The Cakemaker,2018,9.8
225,Homecoming: A Film by Beyoncé,2019,9.8
226,God's Own Country,2017,9.8
227,Don't Think Twice,2016,9.8
228,Moonlight,2016,9.8
229,Under The Shadow,2016,9.9
230,Jiro Dreams of Sushi,2012,9.9
231,Starred Up,2014,9.9
232,Song Of The Sea,2014,9.9
233,My Life as a Zucchini (Ma vie de courgette),2017,9.9
234,Virunga,2014,1.0
235,Anima,2019,1.0
236,Invader Zim: Enter the Florpus,2019,1.0
237,The Young Offenders,2016,1.0
238,Democrats,2015,1.0
239,Creep 2,2017,1.0
240,Mercury 13,2018,1.0
241,Paris Is Burning,1991,1.0
242,Kilo Two Bravo,2015,1.0
243,Chasing Coral,2017,1.0
244,Mr. Roosevelt,2017,1.0
245,Strong Island,2017,1.0
246,Shirkers,2018,1.0
247,The Square (Al Midan),2013,1.0
248,Crip Camp: A Disability Revolution,2020,1.0
249,Knock Down the House,2019,1.0
